rule,length,complexity,train_fitness,train_excess_sharpe,train_sharpe,val_fitness,val_excess_sharpe,val_sharpe,val_sharpe_bh,holdout_fitness,holdout_excess_sharpe,holdout_sharpe,holdout_sharpe_bh,null_pvalue,null_n,selected_on
jupiter_sign_scorpio & ~mercury_sign_cancer,2,4,-0.44162581077207747,-0.4016258107720775,0.10100687978994295,0.030352971513604478,0.07035297151360448,0.46279340041172934,0.39244042889812486,-0.6033400625767953,-0.5633400625767953,0.19194802472234715,0.7552880872991424,,,validation
~asp_saturn_sun_sextile & ~jupiter_sign_gemini,2,5,-0.09373345000887597,-0.04373345000887596,0.45889924055314446,0.030312686982833112,0.08031268698283311,0.472753115880958,0.39244042889812486,-0.05667331980101649,-0.006673319801016486,0.7486147674981259,0.7552880872991424,,,validation
~asp_jupiter_mars_conj & ~venus_sign_cancer,2,5,-0.05191495388753116,-0.0019149538875311567,0.5007177366744893,0.03029193195345546,0.08029193195345546,0.4727323608515803,0.39244042889812486,-0.21502933027631727,-0.16502933027631728,0.5902587570228252,0.7552880872991424,,,validation
~asp_jupiter_sun_square & ~saturn_ingress_1d,2,5,-0.10949686588773806,-0.05949686588773806,0.44313582467428236,0.03014667567973843,0.08014667567973843,0.4725871045778633,0.39244042889812486,-0.14104969138242324,-0.09104969138242325,0.6642383959167192,0.7552880872991424,,,validation
jupiter_sign_sagittarius & ~sun_sign_cancer,2,4,-0.12387499056678472,-0.08387499056678471,0.4187576999952357,0.030010303637850934,0.07001030363785093,0.4624507325359758,0.39244042889812486,-0.6458030970680659,-0.6058030970680659,0.14948499023107656,0.7552880872991424,,,validation
~asp_saturn_sun_trine & ~sun_sign_cancer,2,5,-0.09654849391388166,-0.04654849391388166,0.45608419664813876,0.030005233664723005,0.08000523366472301,0.47244566256284787,0.39244042889812486,-0.18232802063223558,-0.1323280206322356,0.6229600666669068,0.7552880872991424,,,validation
~asp_mars_venus_conj & ~mercury_sign_cancer,2,5,-0.12757712268894295,-0.07757712268894296,0.42505556787307747,0.02990710068519363,0.07990710068519363,0.4723475295833185,0.39244042889812486,-0.1894771371965715,-0.1394771371965715,0.6158109501025709,0.7552880872991424,,,validation
~asp_jupiter_venus_square & mercury_sign_taurus,2,4,-0.4593811381226965,-0.4193811381226965,0.08325155243932394,0.029867783698934038,0.06986778369893404,0.4623082125970589,0.39244042889812486,-0.9388111714673261,-0.898811171467326,-0.14352308416818363,0.7552880872991424,,,validation
~saturn_ingress_1d & ~venus_sign_sagittarius,2,5,-0.09552996940189735,-0.04552996940189735,0.45710272116012307,0.029743006283197246,0.07974300628319725,0.4721834351813221,0.39244042889812486,-0.1792137639159362,-0.1292137639159362,0.6260743233832062,0.7552880872991424,,,validation
jupiter_sign_sagittarius & ~mars_sign_scorpio,2,4,-0.16647671273446882,-0.1264767127344688,0.3761559778275516,0.02945167662077095,0.06945167662077095,0.4618921055188958,0.39244042889812486,-0.5976282131611175,-0.5576282131611174,0.19765987413802505,0.7552880872991424,,,validation
~asp_jupiter_sun_opp & ~mars_sign_scorpio,2,5,-0.0015928385369127912,0.04840716146308721,0.5510398520251076,0.029424614181647976,0.07942461418164798,0.47186504307977284,0.39244042889812486,-0.1631430752130309,-0.11314307521303091,0.6421450120861115,0.7552880872991424,,,validation
