rule,length,complexity,train_fitness,train_excess_sharpe,train_sharpe,val_fitness,val_excess_sharpe,val_sharpe,val_sharpe_bh,val_fitness_raw,n_episodes_val,max_episode_val,n_episodes_train_val,val_half1_excess_sharpe,val_half2_excess_sharpe,stable,holdout_fitness,holdout_excess_sharpe,holdout_sharpe,holdout_sharpe_bh,null_pvalue,null_n,selected_on,drop_reason,nasdaq_val_excess_sharpe,nasdaq_val_sharpe,nasdaq_val_sharpe_bh,nasdaq_holdout_excess_sharpe,nasdaq_holdout_sharpe,nasdaq_holdout_sharpe_bh,cross_asset,partial_stage
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~asp_uranus_venus_square_orb3,4,10,-0.3012126460426312,-0.15121264604263118,0.3591448535251399,0.6628044844960109,0.812804484496011,1.2052449133941359,0.39244042889812486,0.6628044844960109,7,52,24,1.0796473633793835,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.4104534881974922,0.8167460470469806,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True,post_nasdaq
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~asp_uranus_venus_square_orb3,4,10,-0.2980616947119855,-0.14806169471198555,0.36229580485578555,0.6608909592591808,0.8108909592591809,1.2033313881573058,0.39244042889812486,0.6608909592591808,7,52,24,1.0769180544364452,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.4228657279963594,0.8291582868458478,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True,post_nasdaq
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~asp_sun_uranus_trine_orb5,4,10,-0.357079031696531,-0.20707903169653097,0.30327846787124013,0.6592685480284134,0.8092685480284134,1.2017089769265383,0.39244042889812486,0.6592685480284134,7,58,23,1.0746040276541484,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.4001475059549557,0.8064400648044441,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True,post_nasdaq
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~asp_sun_uranus_trine_orb5,4,10,-0.35403849859589287,-0.20403849859589285,0.30631900097187825,0.6575628516369522,0.8075628516369522,1.200003280535077,0.39244042889812486,0.6575628516369522,7,56,23,1.072171270452435,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.41202906846402026,0.8183216273135087,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True,post_nasdaq
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~venus_sign_taurus,4,10,-0.37651778203452824,-0.22651778203452821,0.2838397175332429,0.6560381064549333,0.8060381064549333,1.1984785353530583,0.39244042889812486,0.6560381064549333,6,102,18,1.069996646216207,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.32328968502997685,0.7295822438794652,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True,post_nasdaq
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~venus_sign_taurus,4,10,-0.37345373507084134,-0.22345373507084137,0.2869037644969297,0.6549076261028784,0.8049076261028785,1.1973480550010034,0.39244042889812486,0.6549076261028784,6,100,18,1.0683843616516164,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.33349873229501176,0.7397912911445002,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True,post_nasdaq
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_venus_sextile_orb5 & ~asp_uranus_venus_square_orb3,4,10,-0.3028464427483558,-0.1528464427483558,0.3575110568194153,0.6535181615904334,0.8035181615904334,1.1959585904885583,0.39244042889812486,0.6535181615904334,8,58,26,1.0664027511699163,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.49175222450095074,0.8980447833504391,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True,post_nasdaq
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~asp_pluto_sun_opp_orb5,4,10,-0.3419267823816622,-0.19192678238166222,0.3184307171861089,0.6525936967789437,0.8025936967789438,1.1950341256770687,0.39244042889812486,0.6525936967789437,6,102,18,1.0650843304519717,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.3402413070981469,0.7465338659476353,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True,post_nasdaq
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~asp_pluto_sun_opp_orb5,4,10,-0.3388852626978759,-0.18888526269787592,0.3214722368698952,0.6506749124531318,0.8006749124531318,1.1931153413512567,0.39244042889812486,0.6506749124531318,6,100,18,1.0623479217509575,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.3503080918124886,0.756600650661977,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True,post_nasdaq
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_venus_sextile_orb5 & ~asp_sun_uranus_trine_orb5,4,10,-0.37063104658927004,-0.22063104658927007,0.289726452978501,0.6498823203435883,0.7998823203435883,1.1923227492417132,0.39244042889812486,0.6498823203435883,8,60,29,1.0612176154986672,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.48065812519200807,0.8869506840414965,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True,post_nasdaq
