rule,side,length,complexity,val_avg_R,val_total_R,val_n_trades,val_fitness,val_fitness_raw,val_pf,val_win_rate,val_sharpe,val_max_dd,n_episodes_val,max_episode_val,val_half1_avg_R,val_half2_avg_R,stable,train_avg_R,train_n_trades,holdout_avg_R,holdout_total_R,holdout_n_trades,holdout_pf,holdout_win_rate,holdout_sharpe,holdout_max_dd,null_pvalue,null_n,drop_reason,selected_on
asp_mercury_uranus_square_orb5 & ~venus_sign_sagittarius,short,2,4,0.3913111352363602,21.52211243799981,55,0.31131113523636017,0.31131113523636017,2.3888185674409974,0.5818181818181818,,,10,12,0.3606097733480676,0.42815276950231124,True,-0.0003617013938641936,140,,,,,,,,,,,validation
~asp_jupiter_venus_conj_orb3 & asp_mercury_uranus_square_orb5,short,2,4,0.3913111352363602,21.52211243799981,55,0.31131113523636017,0.31131113523636017,2.3888185674409974,0.5818181818181818,,,10,14,0.3606097733480676,0.42815276950231124,True,0.014928573269710154,149,,,,,,,,,,,validation
~asp_moon_uranus_conj_orb1 & mercury_sign_capricorn & ~venus_sign_sagittarius,short,3,7,0.5468691707921856,16.952944294557753,31,0.31110175846632,0.32976842513298665,2.812095560224292,0.6129032258064516,1.0144895802773228,-0.014382539525209181,8,21,0.44134187479742787,1.051586486877892,False,-0.22734657143509698,75,0.09630654201034207,3.8522616804136827,40.0,1.2030250182560052,0.475,0.17772757546071535,-0.019743867223536382,0.0014992503748125937,2000.0,,validation
asp_mercury_uranus_trine_orb3,long,1,1,0.3307162664106612,18.850827185407688,57,0.3107162664106612,0.3107162664106612,2.1761401727668686,0.5789473684210527,,,12,7,0.2489607626486933,0.3749084306063195,True,-0.04395498224142665,144,,,,,,,,,,,validation
~asp_mars_neptune_trine_orb5 & mercury_sign_capricorn,short,2,4,0.40396195730853207,14.138668505798623,35,0.31062862397519875,0.32396195730853206,2.133385685994569,0.5714285714285714,,,8,21,0.37389069298925504,0.47914011810672463,True,-0.18476829224955946,75,,,,,,,,,,,validation
~asp_mercury_uranus_trine_orb1 & mercury_sign_capricorn,short,2,4,0.40396195730853207,14.138668505798623,35,0.31062862397519875,0.32396195730853206,2.133385685994569,0.5714285714285714,,,7,24,0.37389069298925504,0.47914011810672463,True,-0.18476829224955946,75,,,,,,,,,,,validation
~asp_mercury_uranus_trine_orb5 & mercury_sign_capricorn,short,2,4,0.40396195730853207,14.138668505798623,35,0.31062862397519875,0.32396195730853206,2.133385685994569,0.5714285714285714,,,7,24,0.37389069298925504,0.47914011810672463,True,-0.18476829224955946,75,,,,,,,,,,,validation
~asp_uranus_venus_trine_orb5 & mercury_sign_capricorn,short,2,4,0.40396195730853207,14.138668505798623,35,0.31062862397519875,0.32396195730853206,2.133385685994569,0.5714285714285714,,,8,21,0.37389069298925504,0.47914011810672463,True,-0.18476829224955946,75,,,,,,,,,,,validation
~asp_sun_venus_conj_orb5 & mercury_sign_capricorn,short,2,4,0.40396195730853207,14.138668505798623,35,0.31062862397519875,0.32396195730853206,2.133385685994569,0.5714285714285714,,,8,24,0.37389069298925504,0.47914011810672463,True,-0.2488675095815007,84,,,,,,,,,,,validation
~asp_jupiter_sun_trine_orb3 & mercury_sign_capricorn,short,2,4,0.40396195730853207,14.138668505798623,35,0.31062862397519875,0.32396195730853206,2.133385685994569,0.5714285714285714,,,8,21,0.37389069298925504,0.47914011810672463,True,-0.18476829224955946,75,,,,,,,,,,,validation
